code,x,y
E07000071,51.9466,19.9562
E09000009,39.3525,14.1930
E07000124,27.7384,40.8413
E06000020,24.0499,25.9326
E07000083,27.3430,17.1118
E07000128,25.1883,42.5111
E06000009,24.7912,41.6016
W06000015,21.5381,14.2358
E06000003,38.8029,43.4646
E07000149,52.0301,25.7222
E07000088,35.5074,5.4478
E07000094,35.1484,7.6140
E07000034,33.9337,31.1375
E08000009,29.9359,33.9205
E07000106,53.7331,8.3331
E08000032,35.5327,39.2414
E07000113,52.6717,8.9484
W06000001,16.8874,30.5678
E07000068,48.8045,18.5895
E07000136,45.2321,30.6937
W06000016,20.2225,15.3409
E07000224,40.2983,4.7415
E07000119,25.6535,41.1196
E09000010,45.4678,17.4934
E07000047,20.8594,6.0651
E08000003,31.4207,34.4554
E09000033,42.8136,14.1000
E07000223,42.9632,4.7472
E06000057,32.2033,53.7194
E07000180,30.6536,15.2848
E07000178,31.4643,16.0756
E06000008,27.8380,39.7769
E06000001,37.1334,44.6506
E09000030,46.2763,14.0393
E07000112,52.8634,7.3084
E07000118,26.7846,38.9292
E07000120,28.4732,40.3393
E07000043,20.9506,7.6702
E07000091,32.1694,6.2702
E07000169,41.5104,39.3349
E06000040,36.1130,11.8488
W06000009,14.2674,18.4912
E07000239,27.2884,19.8149
E08000031,26.2094,24.9790
W06000013,19.1211,14.6922
W06000004,20.5133,29.7313
E07000241,43.0686,18.8365
E07000103,40.9379,17.9107
E07000079,28.6932,16.0481
E07000036,35.3251,29.3348
E07000139,44.4101,30.9686
E07000125,29.0888,39.6897
E07000081,27.2229,16.1294
E09000023,46.8935,11.9837
E07000038,33.4755,31.2262
E07000145,53.5635,25.9214
E09000032,42.3514,12.3275
E07000164,40.7736,41.8885
E06000046,33.6405,4.7250
E06000051,23.3880,26.0884
E07000116,49.8303,7.3644
E06000034,49.5099,17.6324
E06000026,20.0741,4.8045
W06000023,20.4632,21.8946
E07000010,47.0260,24.6858
E07000237,27.7501,18.5864
E07000122,30.0149,41.3440
E08000025,29.7501,23.3310
E07000220,35.1921,21.0843
E07000046,20.5378,6.7605
E06000058,28.3781,6.2875
E08000010,27.4758,36.1575
E07000148,52.4792,26.4112
E07000195,27.1568,29.0386
W06000002,18.3882,29.7130
E09000013,40.8560,13.6162
E08000022,33.3785,51.3819
E07000165,40.0753,41.5749
E07000115,49.8155,8.3366
E07000212,40.4204,8.7284
E06000047,34.6567,45.9914
E08000019,36.4151,33.3525
E08000027,26.3844,23.2561
E09000022,44.0734,12.1782
E06000042,36.9290,18.3160
E07000086,34.5534,7.0054
E08000034,36.1216,37.2078
E07000127,25.9812,38.2797
E08000012,23.1176,35.1876
E08000017,39.1537,34.7405
E08000005,31.9593,36.7944
E07000009,46.9110,23.7481
E09000021,41.2087,11.1002
E07000215,44.4567,8.0187
E07000222,34.2851,20.2971
E07000031,25.3726,46.8653
E09000026,49.4146,15.6196
E09000017,38.1772,14.8481
E07000208,42.6934,8.2822
E07000089,36.2135,8.6013
E07000166,39.1375,42.0295
E09000002,50.1289,14.2198
E06000013,42.0384,35.6441
E07000069,51.3701,17.4893
E07000163,38.8810,41.4349
E06000011,42.6642,37.5165
E09000014,45.5470,16.4106
E07000039,33.8429,27.8203
E07000176,39.7058,28.3148
E07000143,51.1649,26.3951
E07000035,33.0386,30.5953
E06000035,51.1997,9.2175
E06000036,35.5884,11.1462
E07000173,39.6950,29.8925
E07000080,26.4154,16.3563
E06000027,22.0823,4.4189
E07000137,45.3585,31.7745
E09000027,40.3194,12.0979
E09000025,48.1733,14.2360
E07000087,35.3131,6.3058
W06000021,23.7432,15.9770
E09000011,48.2324,12.7831
E07000032,34.4877,30.3028
E07000041,22.1034,6.3220
E07000226,42.2343,5.9352
E06000022,26.7544,10.6604
E07000235,27.0215,18.7911
E08000013,25.0514,35.9825
E07000217,40.3749,7.7138
E06000039,36.3134,12.4552
E06000043,45.8494,5.2554
E07000141,44.1412,29.9094
W06000005,21.4144,29.7903
E08000024,33.9187,48.7135
E07000181,30.8649,16.7891
E07000096,40.7484,18.7555
E07000123,26.6355,40.6996
E06000032,40.7020,20.4953
E07000246,23.7352,8.4600
E07000240,42.0639,19.2106
E07000093,33.6366,7.8732
E07000061,48.6344,4.5576
E09000012,46.1652,15.2142
E07000065,48.1931,5.8614
E06000033,52.5634,17.7380
E07000234,28.3012,19.8800
E08000014,22.5454,37.6516
E09000019,44.7098,14.9648
E06000024,24.6628,11.0620
E08000026,32.4629,22.1193
E07000098,42.2423,18.1480
E07000028,25.5686,48.5628
E07000063,47.6190,5.2760
E09000028,45.3960,12.6463
E07000245,51.5535,23.5706
E07000114,55.0740,8.5308
E08000023,33.8886,49.8219
E07000029,24.5870,46.9658
E07000211,43.5634,7.9521
E06000030,29.9884,12.0364
E09000006,47.0966,10.6975
E06000002,37.5233,43.4493
E09000024,42.7017,10.9774
E06000041,34.6527,11.7095
E07000067,50.4268,20.1237
E09000018,39.1833,12.7259
W06000022,23.4436,14.9000
E07000167,41.8381,41.3610
E07000228,43.2969,5.6422
E08000007,32.6882,33.4842
E07000064,49.4632,5.0938
E08000029,31.0613,22.1848
E06000045,33.5060,6.6281
E07000111,48.7178,8.2892
E07000198,28.9134,29.6878
W06000020,23.0474,15.9071
E07000026,24.7379,47.8311
E06000010,43.1556,36.8398
E07000244,54.1535,23.5393
E06000037,32.4108,11.8374
E07000092,36.8513,8.7086
E08000008,33.4664,35.0526
E07000144,52.6578,26.9610
E07000229,41.6419,4.6374
E07000040,23.3530,6.3135
E07000209,40.1790,7.1720
E06000054,29.4472,10.2267
E07000084,35.2037,8.7386
E06000023,26.0719,12.1420
E07000044,21.0771,4.0985
W06000018,21.8064,15.6706
E07000225,39.0176,4.7221
E06000015,34.3995,28.9819
E07000070,50.0125,19.0607
E07000188,24.8882,9.1733
E06000004,36.4192,43.8143
E09000001,44.0874,13.7122
W06000024,20.6027,16.2340
E07000218,34.3379,23.3884
E07000210,42.1799,7.2867
E07000045,21.4193,5.2996
E07000102,39.9556,17.7970
E07000117,29.4425,40.4934
E09000031,47.6832,16.2095
E07000216,39.6581,6.6258
E06000056,40.5712,21.2216
E07000107,48.7840,9.4540
E08000006,29.5816,35.3654
E06000050,25.1402,31.9535
E07000030,25.5635,47.8732
E07000121,26.1500,43.5873
E07000078,28.1889,16.5687
W06000010,15.5875,18.3652
E07000203,52.8378,23.5834
E07000219,34.9009,22.3165
E07000177,31.6634,17.4487
E09000003,42.9824,16.4493
E09000005,41.1109,15.2822
E07000170,38.5180,30.2508
E09000015,39.9551,16.0397
E07000008,46.5181,22.7000
E07000140,45.0295,29.6513
E09000029,42.8586,10.0211
E06000019,23.9878,19.4262
E09000007,43.5129,15.0090
E08000015,21.7004,33.5462
E06000014,41.6244,40.4995
E07000066,50.4008,18.2071
W06000012,18.8353,15.6665
W06000014,19.8538,13.7590
E06000059,26.6128,6.5089
E07000027,25.0378,45.8607
W06000019,22.3384,16.2787
E07000105,51.9540,7.7513
E07000147,52.3841,27.5211
E07000242,44.3884,20.1188
E06000007,26.8388,33.2358
E07000238,28.4888,18.6987
E06000005,35.2839,43.3871
E07000037,32.3198,31.4010
E07000179,31.9817,15.2680
E07000108,54.0420,7.4945
E07000168,41.7450,41.9898
E06000044,36.4611,5.8157
E07000202,52.8676,22.7737
E07000199,30.3388,26.7292
E09000004,49.4130,12.2815
E07000243,43.3659,19.7793
E09000016,51.0073,15.0179
E07000095,44.1637,19.0800
E07000146,50.5850,26.8506
E07000207,41.7050,7.9638
E07000227,41.5207,5.4726
E07000175,40.4577,29.9738
E07000075,51.9703,18.5768
W06000011,17.0431,15.9360
E07000174,39.3802,30.8979
E06000053,12.5890,2.5389
E06000021,28.0042,29.5005
E06000038,33.6024,11.9701
E08000016,36.7682,34.9449
E07000042,21.7089,6.8519
E08000002,30.6728,36.7649
E08000037,31.9076,49.7703
E07000236,29.0140,19.1410
E06000025,27.1732,12.7489
E07000194,29.4803,27.0605
E07000076,53.4048,20.1184
E07000085,36.1982,7.4238
E06000018,38.7554,28.7268
E07000099,43.7412,20.9032
E07000126,26.7415,39.6716
E07000214,39.5468,8.3498
E07000200,51.7105,22.5202
E07000171,39.6841,31.6184
E07000142,44.3877,32.6759
E07000193,29.1632,28.1298
E08000001,29.0971,36.5284
E07000011,45.4783,23.8655
E07000082,27.3417,15.2877
E07000192,28.4879,27.0902
E07000090,37.2684,5.9854
E08000030,28.1751,25.2088
E08000033,34.7639,38.0117
E08000011,24.3127,35.6058
E06000031,45.6566,24.7616
E06000052,16.2843,3.8303
E08000028,27.7826,23.8167
E07000072,48.2780,19.0526
E07000073,48.6834,19.9218
E07000196,27.2561,26.7934
W06000006,21.2530,28.5945
E07000213,41.1630,8.5588
E07000197,28.1088,27.9695
E07000033,34.9383,31.1692
E06000049,27.3275,31.9193
E07000110,50.8665,7.9821
W06000003,19.6381,29.9674
E07000109,49.6261,9.3543
E08000021,31.9130,50.9052
E06000012,43.7282,35.0401
E07000221,33.8679,19.5992
W06000008,19.4884,21.7651
E07000189,25.2959,8.1816
E07000077,49.6515,20.3711
E06000006,25.4036,33.0165
E07000074,51.3626,19.1663
E08000018,38.1211,33.7229
E06000055,40.8153,22.0489
E07000138,44.3378,31.8965
E07000172,37.7554,29.1311
E09000020,41.9651,13.6688
E08000035,38.4170,39.1364
E08000004,33.1278,36.2781
E07000187,25.9387,9.0721
E07000062,50.3614,4.9719
E08000036,38.7463,37.3280
E07000012,45.8021,22.5851
E09000008,44.9431,10.4160
E06000060,35.5130,15.8164
E06000017,38.1785,25.6103
E06000016,36.4971,25.9884
E07000135,37.1453,25.0678
E07000129,35.7260,25.0328
E07000130,36.8129,27.2806
E07000134,35.5752,27.1572
E07000133,37.8637,26.3115
E07000132,34.9061,25.7916
E07000131,37.5295,24.9288
E06000062,38.4218,22.9507
E06000061,40.3376,24.4363